City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
192,Dengzhou,CN,37.8086,120.7508,78.91,83,22,9.93,few clouds
193,Namibe,AO,-15.1961,12.1522,62.42,87,0,0.4,clear sky
194,Bumba,CD,2.1833,22.4667,70.63,94,95,2.21,overcast clouds
195,Torbay,CA,47.6666,-52.7314,65.75,89,100,21.85,light intensity drizzle
196,Springfield,US,37.2153,-93.2982,77.92,61,0,5.7,clear sky
197,Aden,YE,12.7794,45.0367,85.62,67,100,4.36,overcast clouds
198,Pattani,TH,6.75,100.4167,86.5,72,77,6.24,broken clouds
199,Gravdal,NO,68.1214,13.5031,51.4,90,100,6.11,overcast clouds
200,Luderitz,NA,-26.6481,15.1594,54.79,54,0,14.45,clear sky
201,Kununurra,AU,-15.7667,128.7333,71.58,21,14,13.8,few clouds
202,Dikson,RU,73.5069,80.5464,44.51,70,99,6.64,overcast clouds
203,Pochutla,MX,15.7432,-96.4661,80.82,91,87,3.0,overcast clouds
204,Skibbereen,IE,51.55,-9.2667,56.1,91,7,3.8,clear sky
205,Tansen,NP,27.8673,83.5467,78.26,65,74,2.84,broken clouds
206,Namatanai,PG,-3.6667,152.4333,83.17,76,91,8.03,light rain
207,Carnarvon,AU,-24.8667,113.6333,72.45,67,0,10.36,clear sky
208,Shimoda,JP,34.6667,138.95,80.96,84,98,10.71,overcast clouds
209,Taoudenni,ML,22.6783,-3.9836,97.5,21,22,8.37,few clouds
210,Santa Cruz,BO,-17.8,-63.1667,67.46,83,75,14.97,broken clouds
211,Alugan,PH,12.2188,125.4808,83.68,78,43,7.4,scattered clouds
212,Aklavik,CA,68.2191,-135.0107,42.17,72,99,23.2,overcast clouds
213,Altamont,US,42.2068,-121.7372,84.04,37,0,19.57,clear sky
214,Kodiak,US,57.79,-152.4072,58.51,72,100,6.91,overcast clouds
215,Gornopravdinsk,RU,60.05,69.9,70.38,76,78,6.71,light rain
216,Taraz,KZ,42.9,71.3667,72.01,46,0,4.47,clear sky
217,Alice Springs,AU,-23.7,133.8833,58.55,41,0,10.36,clear sky
218,Karratha,AU,-20.7377,116.8463,73.47,37,64,17.13,broken clouds
219,Georgetown,MY,5.4112,100.3354,85.89,83,20,5.99,few clouds
220,Sobolevo,RU,54.4299,31.8996,52.77,97,100,3.33,overcast clouds
221,Opuwo,NA,-18.0607,13.84,56.32,40,0,7.29,clear sky
222,Thinadhoo,MV,0.5333,72.9333,83.41,74,37,11.56,scattered clouds
223,Lavrentiya,RU,65.5833,-171.0,53.19,65,25,6.87,scattered clouds
224,Hithadhoo,MV,-0.6,73.0833,83.25,73,23,13.04,few clouds
225,Kruisfontein,ZA,-34.0033,24.7314,56.88,52,60,15.01,broken clouds
226,Lata,PT,40.1629,-8.3327,76.08,29,29,3.31,scattered clouds
227,General Roca,AR,-39.0333,-67.5833,40.62,90,100,13.89,overcast clouds
228,Kingaroy,AU,-26.5333,151.8333,57.65,49,0,12.84,clear sky
229,Hartlepool,GB,54.6861,-1.2125,57.43,77,100,7.29,overcast clouds
230,Gimbi,ET,9.1667,35.8333,55.15,96,100,1.52,overcast clouds
231,Wawa,NG,9.9022,4.4192,73.17,90,85,6.17,overcast clouds
232,Moissala,TD,8.3404,17.7663,68.22,93,98,3.09,overcast clouds
233,Saskylakh,RU,71.9167,114.0833,47.07,64,100,9.33,overcast clouds
234,Puerto Escondido,MX,15.85,-97.0667,79.84,83,85,2.89,overcast clouds
235,Krasnoselkup,RU,65.7,82.4667,61.05,49,55,8.05,broken clouds
236,Mar Del Plata,AR,-38.0023,-57.5575,51.1,81,0,17.0,clear sky
237,Narsaq,GL,60.9167,-46.05,47.43,66,100,4.27,overcast clouds
238,Isangel,VU,-19.55,169.2667,84.31,79,40,11.5,scattered clouds
239,Baiyin,CN,36.5583,104.2081,77.63,55,81,5.48,broken clouds
240,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,74.21,86,7,8.43,clear sky
241,Lorengau,PG,-2.0226,147.2712,85.53,67,74,7.4,broken clouds
242,Mandurah,AU,-32.55,115.7,60.91,87,89,22.12,overcast clouds
243,Arkhipo-Osipovka,RU,44.37,38.52,66.99,66,15,5.84,few clouds
244,Ghanzi,BW,-21.5667,21.7833,50.04,51,3,3.83,clear sky
245,Leninskoye,KZ,41.7589,69.3864,86.97,21,0,1.52,clear sky
246,Turukhansk,RU,65.8167,87.9833,57.76,54,99,4.88,overcast clouds
247,Katsuura,JP,35.1333,140.3,77.2,86,100,13.94,overcast clouds
248,Guayaramerin,BO,-10.8368,-65.3614,77.59,72,94,2.17,overcast clouds
249,Tombouctou,ML,20.0,-3.0,93.18,29,4,8.95,clear sky
250,Juigalpa,NI,12.1063,-85.3645,75.34,92,100,8.57,overcast clouds
251,Yuncheng,CN,35.0231,110.9928,87.22,64,84,6.06,broken clouds
252,Sur,OM,22.5667,59.5289,90.55,60,100,4.27,overcast clouds
253,Mumford,GH,5.2618,-0.759,74.62,88,100,11.03,light rain
254,Orcopampa,PE,-15.2661,-72.3417,43.66,57,13,1.97,few clouds
255,Susangerd,IR,31.5608,48.1831,93.85,16,0,10.85,clear sky
256,Srednekolymsk,RU,67.45,153.6833,62.49,53,59,14.83,broken clouds
257,Kirakira,SB,-10.4544,161.9205,84.49,56,9,3.51,clear sky
258,Capitan Bado,PY,-23.2667,-55.5333,63.59,79,100,11.21,overcast clouds
259,Sioux Lookout,CA,50.1001,-91.917,62.67,72,20,0.0,few clouds
260,Khowai,IN,24.1,91.6333,89.38,69,11,4.47,few clouds
261,Lodja,CD,-3.4833,23.4333,74.41,45,97,1.05,overcast clouds
262,Coquimbo,CL,-29.9533,-71.3436,55.13,87,100,8.05,overcast clouds
263,Marabba,SD,12.35,32.1833,80.55,65,95,3.78,overcast clouds
264,Tarut,SA,26.5733,50.0369,86.2,30,46,11.68,scattered clouds
265,Port Moresby,PG,-9.4431,147.1797,80.02,74,100,23.02,haze
266,Ust-Ordynskiy,RU,52.805,104.7508,58.75,91,100,9.84,light rain
267,San Lawrenz,MT,36.0553,14.204,73.85,84,0,4.07,clear sky
268,Peto,MX,20.1333,-88.9167,79.59,78,100,5.88,overcast clouds
269,Mmabatho,ZA,-25.85,25.6333,39.16,81,0,3.44,clear sky
270,Fortuna,US,40.5982,-124.1573,61.93,76,20,3.0,few clouds
271,Cabedelo,BR,-6.9811,-34.8339,72.27,87,26,10.18,scattered clouds
272,Tessalit,ML,20.1986,1.0114,91.67,24,45,9.4,scattered clouds
273,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,78,0,2.3,clear sky
274,Madaoua,NE,14.073,5.96,83.21,57,77,10.89,broken clouds
275,Tahta,EG,26.7693,31.5021,74.61,48,9,14.88,clear sky
276,Qaqortoq,GL,60.7167,-46.0333,47.01,69,100,1.86,overcast clouds
277,Port Blair,IN,11.6667,92.75,82.44,83,100,10.36,mist
278,Kirensk,RU,57.7853,108.1119,55.2,96,100,5.59,light rain
279,Pampa,US,35.5362,-100.9599,92.35,42,0,10.36,clear sky
280,Hawera,NZ,-39.5917,174.2833,58.23,75,100,3.96,overcast clouds
281,Marzuq,YE,14.4,46.4667,75.76,59,100,1.99,light rain
282,Pisco,PE,-13.7,-76.2167,59.05,88,0,13.8,clear sky
283,Ribeira Grande,PT,38.5167,-28.7,69.6,94,99,12.48,overcast clouds
284,Sola,VU,-13.8833,167.55,80.96,66,77,7.65,broken clouds
285,Tadine,NC,-21.55,167.8833,74.86,80,83,12.73,broken clouds
286,Gizo,SB,-8.103,156.8419,84.18,70,21,7.25,few clouds
287,Aromashevo,RU,56.8602,68.6375,70.39,86,63,7.72,broken clouds
288,Balkhash,KZ,46.844,74.9804,74.01,31,0,13.42,clear sky
289,Ballina,AU,-28.8667,153.5667,63.01,64,94,19.44,overcast clouds
290,Radhanpur,IN,23.8333,71.6,83.62,80,100,1.07,overcast clouds
291,Sampit,ID,-2.5333,112.95,81.23,77,98,4.85,overcast clouds
292,Zhob,PK,31.3411,69.4481,81.16,54,2,2.1,clear sky
293,Vestmannaeyjar,IS,63.4427,-20.2734,49.62,80,100,12.55,overcast clouds
294,Ulaangom,MN,49.9811,92.0667,55.89,65,100,16.31,overcast clouds
295,Haines Junction,CA,60.7522,-137.5108,60.75,59,41,4.61,scattered clouds
296,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,71.67,99,100,1.36,overcast clouds
297,Bathsheba,BB,13.2167,-59.5167,81.21,85,40,16.11,scattered clouds
298,Ponta Delgada,PT,37.7333,-25.6667,68.5,77,40,4.61,scattered clouds
299,Mount Isa,AU,-20.7333,139.5,64.17,24,0,14.97,clear sky
300,South Yuba City,US,39.1166,-121.6391,93.6,22,0,11.5,clear sky
301,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,70.39,68,20,15.66,few clouds
302,Nalut,LY,30.3333,10.85,73.99,36,0,14.67,clear sky
303,Jalu,LY,29.0331,21.5482,76.03,48,0,10.51,clear sky
304,Cherskiy,RU,68.75,161.3,52.88,51,36,20.22,scattered clouds
305,Talnakh,RU,69.4865,88.3972,58.21,42,45,1.32,scattered clouds
