City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
283,Kajiado,KE,2022-07-13 04:10:48,-1.8524,36.7768,50.68,94,94,4.34
284,Alice Springs,AU,2022-07-13 04:10:48,-23.7,133.8833,56.75,38,0,13.8
285,Newport,GB,2022-07-13 04:10:49,51.5877,-2.9984,65.01,82,48,5.48
286,Meulaboh,ID,2022-07-13 04:07:05,4.1363,96.1285,84.58,63,82,5.88
287,Sinfra,CI,2022-07-13 04:10:49,6.6167,-5.9167,69.64,98,99,2.44
288,Palmer,US,2022-07-13 04:10:50,42.1584,-72.3287,70.92,87,100,0.0
289,Kahului,US,2022-07-13 04:10:50,20.8947,-156.47,82.42,76,40,19.57
290,Ariquemes,BR,2022-07-13 04:10:50,-9.9133,-63.0408,75.83,69,74,0.89
291,Mackay,AU,2022-07-13 04:10:51,-21.15,149.2,66.61,41,0,7.67
292,Katsuura,JP,2022-07-13 04:10:52,35.1333,140.3,78.82,87,86,4.59
293,Sitka,US,2022-07-13 04:10:52,57.0531,-135.33,55.29,76,100,0.0
